total,top_n_accuracy,top_1_accuracy,mean_precision,mean_recall,mean_f1,mean_mrr,vn_weight,sem_weight,min_sim,top_n
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,5
73,0.3013698630136986,0.0821917808219178,0.07945205479452054,0.1481327462491846,0.09208918934946331,0.2321917808219178,0.2,1.0,0.2,5
73,0.3013698630136986,0.0821917808219178,0.07945205479452054,0.1481327462491846,0.09208918934946331,0.2321917808219178,0.2,1.0,0.3,5
73,0.3013698630136986,0.0821917808219178,0.07945205479452054,0.1481327462491846,0.09208918934946331,0.2321917808219178,0.2,1.0,0.4,5
73,0.3013698630136986,0.0821917808219178,0.07945205479452054,0.1481327462491846,0.09208918934946331,0.2321917808219178,0.2,1.0,0.5,5
73,0.273972602739726,0.0821917808219178,0.07579908675799087,0.13898401826484016,0.08573998300025697,0.2226027397260274,0.2,1.0,0.6,5
73,0.3424657534246575,0.0821917808219178,0.0958904109589041,0.16868069145466405,0.11000810452865246,0.2470319634703196,0.2,0.8,0.2,5
73,0.3424657534246575,0.0821917808219178,0.0958904109589041,0.16868069145466405,0.11000810452865246,0.2470319634703196,0.2,0.8,0.3,5
73,0.3424657534246575,0.0821917808219178,0.0958904109589041,0.16868069145466405,0.11000810452865246,0.2470319634703196,0.2,0.8,0.4,5
73,0.3013698630136986,0.0821917808219178,0.10547945205479452,0.15268264840182647,0.10487812393533585,0.2333333333333333,0.2,0.8,0.5,5
73,0.0410958904109589,0.0136986301369863,0.03424657534246575,0.0228310502283105,0.02602739726027397,0.03424657534246575,0.2,0.8,0.6,5
73,0.4246575342465753,0.0821917808219178,0.1232876712328767,0.2271852576647097,0.1472444602581589,0.3107305936073059,0.2,0.6,0.2,5
73,0.4246575342465753,0.0821917808219178,0.1232876712328767,0.2271852576647097,0.1472444602581589,0.3107305936073059,0.2,0.6,0.3,5
73,0.2602739726027397,0.0821917808219178,0.11438356164383562,0.13698630136986298,0.10302437288738658,0.21278538812785386,0.2,0.6,0.4,5
73,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.5,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.6,5
73,0.4794520547945205,0.1232876712328767,0.13698630136986303,0.2380055446836269,0.15964697403053568,0.30068493150684933,0.2,0.4,0.2,5
73,0.2054794520547945,0.0821917808219178,0.1139269406392694,0.10273972602739725,0.10066318764948902,0.17579908675799086,0.2,0.4,0.3,5
73,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.4,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.5,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.6,5
73,0.1506849315068493,0.0821917808219178,0.091324200913242,0.07648401826484016,0.07590780604479234,0.14383561643835616,0.2,0.2,0.2,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,5
73,0.0273972602739726,0.0273972602739726,0.0273972602739726,0.017123287671232876,0.01917808219178082,0.0273972602739726,0.2,0.0,0.2,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.3,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.5,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.6,5
73,0.4931506849315068,0.0821917808219178,0.13972602739726026,0.24746412263535553,0.16487538336853405,0.3187214611872146,0.4,1.0,0.2,5
73,0.4931506849315068,0.0821917808219178,0.13972602739726026,0.24746412263535553,0.16487538336853405,0.3187214611872146,0.4,1.0,0.3,5
73,0.4931506849315068,0.0821917808219178,0.13972602739726026,0.24746412263535553,0.16487538336853405,0.3187214611872146,0.4,1.0,0.4,5
73,0.4931506849315068,0.0821917808219178,0.13972602739726026,0.24746412263535553,0.16487538336853405,0.3187214611872146,0.4,1.0,0.5,5
73,0.4931506849315068,0.0821917808219178,0.141324200913242,0.24472439660795822,0.163713075356911,0.3187214611872146,0.4,1.0,0.6,5
73,0.4794520547945205,0.1232876712328767,0.13698630136986303,0.2380055446836269,0.15964697403053568,0.30068493150684933,0.4,0.8,0.2,5
73,0.4794520547945205,0.1232876712328767,0.13698630136986303,0.2380055446836269,0.15964697403053568,0.30068493150684933,0.4,0.8,0.3,5
73,0.4794520547945205,0.1232876712328767,0.13698630136986303,0.2380055446836269,0.15964697403053568,0.30068493150684933,0.4,0.8,0.4,5
73,0.4657534246575342,0.1232876712328767,0.14018264840182648,0.2306996086105675,0.1571573023627818,0.29726027397260274,0.4,0.8,0.5,5
73,0.2054794520547945,0.0821917808219178,0.1139269406392694,0.10273972602739725,0.10066318764948902,0.17579908675799086,0.4,0.8,0.6,5
73,0.4520547945205479,0.1232876712328767,0.1232876712328767,0.21403294194390082,0.14258792957423091,0.3013698630136986,0.4,0.6,0.2,5
73,0.4520547945205479,0.1232876712328767,0.1232876712328767,0.21403294194390082,0.14258792957423091,0.3013698630136986,0.4,0.6,0.3,5
73,0.4246575342465753,0.1232876712328767,0.13447488584474884,0.20043215916503587,0.14074662019867498,0.28995433789954334,0.4,0.6,0.4,5
73,0.1780821917808219,0.0821917808219178,0.10273972602739725,0.08561643835616438,0.08595346814524897,0.1643835616438356,0.4,0.6,0.5,5
73,0.0684931506849315,0.0547945205479452,0.0684931506849315,0.033105022831050226,0.04200913242009132,0.0684931506849315,0.4,0.6,0.6,5
73,0.4794520547945205,0.136986301369863,0.13150684931506848,0.2224804305283757,0.15047661623004088,0.3011415525114155,0.4,0.4,0.2,5
73,0.3972602739726027,0.136986301369863,0.14406392694063927,0.16943900848010437,0.13800035580857498,0.27625570776255703,0.4,0.4,0.3,5
73,0.1506849315068493,0.0821917808219178,0.091324200913242,0.07648401826484016,0.07590780604479234,0.14383561643835616,0.4,0.4,0.4,5
73,0.0547945205479452,0.0410958904109589,0.0547945205479452,0.026255707762557076,0.03287671232876712,0.0547945205479452,0.4,0.4,0.5,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.6,5
73,0.3835616438356164,0.136986301369863,0.15045662100456622,0.16258969341161122,0.1363349740062069,0.2687214611872146,0.4,0.2,0.2,5
73,0.136986301369863,0.0684931506849315,0.0776255707762557,0.06278538812785388,0.062209175907806044,0.13013698630136986,0.4,0.2,0.3,5
73,0.0547945205479452,0.0410958904109589,0.0547945205479452,0.026255707762557076,0.03287671232876712,0.0547945205479452,0.4,0.2,0.4,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.5,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.6,5
73,0.2602739726027397,0.0958904109589041,0.1276255707762557,0.09809197651663404,0.09398881179703099,0.1897260273972603,0.4,0.0,0.2,5
73,0.0547945205479452,0.0410958904109589,0.0547945205479452,0.026255707762557076,0.03287671232876712,0.0547945205479452,0.4,0.0,0.3,5
73,0.0273972602739726,0.0273972602739726,0.0273972602739726,0.017123287671232876,0.01917808219178082,0.0273972602739726,0.4,0.0,0.4,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.5,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,5
73,0.4657534246575342,0.1232876712328767,0.12876712328767123,0.22202380952380948,0.14888376463718928,0.30410958904109586,0.6,1.0,0.2,5
73,0.4657534246575342,0.1232876712328767,0.12876712328767123,0.22202380952380948,0.14888376463718928,0.30410958904109586,0.6,1.0,0.3,5
73,0.4657534246575342,0.1232876712328767,0.12876712328767123,0.22202380952380948,0.14888376463718928,0.30410958904109586,0.6,1.0,0.4,5
73,0.4657534246575342,0.1232876712328767,0.12876712328767123,0.22202380952380948,0.14888376463718928,0.30410958904109586,0.6,1.0,0.5,5
73,0.4657534246575342,0.1232876712328767,0.12945205479452057,0.22202380952380948,0.1490913196392648,0.30410958904109586,0.6,1.0,0.6,5
73,0.4657534246575342,0.136986301369863,0.12602739726027398,0.21859915198956295,0.1460125871084775,0.3025114155251141,0.6,0.8,0.2,5
73,0.4657534246575342,0.136986301369863,0.12602739726027398,0.21859915198956295,0.1460125871084775,0.3025114155251141,0.6,0.8,0.3,5
73,0.4657534246575342,0.136986301369863,0.12602739726027398,0.21859915198956295,0.1460125871084775,0.3025114155251141,0.6,0.8,0.4,5
73,0.4657534246575342,0.136986301369863,0.12785388127853883,0.21859915198956295,0.1464692081130437,0.3025114155251141,0.6,0.8,0.5,5
73,0.3150684931506849,0.136986301369863,0.16141552511415524,0.1363339856490541,0.13037814544663862,0.2465753424657534,0.6,0.8,0.6,5
73,0.4794520547945205,0.136986301369863,0.13150684931506848,0.2224804305283757,0.15047661623004088,0.3011415525114155,0.6,0.6,0.2,5
73,0.4794520547945205,0.136986301369863,0.13150684931506848,0.2224804305283757,0.15047661623004088,0.3011415525114155,0.6,0.6,0.3,5
73,0.4794520547945205,0.136986301369863,0.13333333333333333,0.2224804305283757,0.15093323723460708,0.3011415525114155,0.6,0.6,0.4,5
